Country Name,Country Code,GDP_2017,GDP_2018,GDP_2019,GDP_2020
Lower middle income,LMC,7246520795601.96,7346924046154.44,7735772656431.27,7384772400818.06
Middle East & North Africa,MEA,3225517205255.14,3368284061892.69,3406149805140.73,3035580428041.81
Middle East & North Africa (excluding high income),MNA,1384689900925.74,1320216563622.83,1343535630261.11,1195745981528.40
Middle East & North Africa (IDA & IBRD countries),TMN,1368561900925.74,1303939963622.84,1326402130261.11,1180179221398.00
Middle income,MIC,29186000510333.60,30985606994094.40,31771082836908.00,30535343464998.60
North America,NAC,21199387143244.10,22344414455783.00,23182723855482.30,22605296107568.40
Not classified,INX,..,..,..,..
OECD members,OED,50501618709816.20,53469075642165.50,53983129759722.60,52392675685741.20
Other small states,OSS,398011979849.43,441549513063.08,432772412402.88,375853309054.97
Pacific island small states,PSS,10212037558.41,10656209172.64,10641343380.15,9530487871.91
Post-demographic dividend,PST,47592585202958.40,50485659285623.00,50983772698324.30,49594473170967.90
Pre-demographic dividend,PRE,1258665620177.51,1344631255020.84,1407737206758.23,1293147607836.51
Small states,SST,479917651624.90,527518555673.90,519587425264.18,451423668844.17
South Asia,SAS,3348108849820.74,3436593922937.52,3597252024123.45,3386420411905.10
South Asia (IDA & IBRD),TSA,3348108849820.74,3436593922937.52,3597252024123.45,3386420411905.10
Sub-Saharan Africa,SSF,1669097279286.27,1754544849278.58,1804482330027.71,1705379934850.61
Sub-Saharan Africa (excluding high income),SSA,1667569037259.91,1752997158519.13,1802899488968.81,1704320048486.98
Sub-Saharan Africa (IDA & IBRD countries),TSS,1669097279286.28,1754544849278.58,1804482330027.71,1705379934850.61
Upper middle income,UMC,21939479714731.70,23638682947940.00,24035310180476.70,23150665555175.70
World,WLD,81193291658568.80,86267600625419.40,87568054407493.10,84746979120044.50
