COUNTRY,flows,short,ISO Code
ARUBA,"{'7': -4.0, '8': -1.0, '10': 53593.0, '11': -75.0, '12': -1.0, '24': -2.0, '25': 0.0, '30': -3.0, '35': -617.0, '37': -4094, '48': -38.0, '52': -1992.0, '54': 0.0, '56': 0.0, '58': -46.0, '59': -167.0, '71': 0.0, '72': -10.0, '81': 0.0, '92': -2.0, '93': 0.0, '98': -6.0, '111': 0.0, '117': -1.0, '118': -1.0, '142': -5554.0, '151': -16.0, '160': -65.0, '172': -27.0, '186': -1.0, '187': 0.0, '215': -936.0, '216': -9576.0, '217': -500.0, '222': -457.0}",ARUBA,AW
AUSTRALIA,"{'4': -69.0, '7': -6.0, '8': -276.0, '11': 7685860.0, '12': -2548.0, '14': -88.0, '17': -23.0, '18': -26.0, '19': -1598.0, '22': -176.0, '23': -27.0, '24': -253.0, '27': -391.0, '28': -747.0, '29': -559.0, '30': -295.0, '33': -123.0, '35': -22731.0, '37': -409, '38': -208.0, '39': -10.0, '43': -4052.0, '47': -426.0, '48': -79.0, '50': -1499.0, '53': -2961.0, '54': -701.0, '56': -3707.0, '58': -6.0, '59': -41.0, '60': -389.0, '61': -471.0, '62': -27.0, '65': -221.0, '66': -54.0, '69': -51.0, '70': -1941.0, '71': -1245.0, '72': -9548.0, '74': -70.0, '78': -15411.0, '79': -37.0, '81': -20630.0, '86': -74.0, '87': -8.0, '92': -1246.0, '93': -172.0, '94': -3833.0, '95': -11400.0, '98': -7568.0, '99': -190.0, '100': -3170.0, '101': -19897.0, '103': -11572.0, '104': -251.0, '107': -86.0, '110': -218.0, '111': -111.0, '115': -797.0, '116': -9.0, '117': -57.0, '118': -287.0, '121': -6157.0, '122': -84.0, '124': -13091.0, '129': -496.0, '133': -248.0, '134': -136.0, '139': -560.0, '140': -43.0, '142': -12054.0, '143': -272.0, '144': -85289.0, '148': -14.0, '151': -2457.0, '156': -335.0, '157': -9219.0, '159': -1120.0, '160': -4249.0, '161': -1196.0, '162': -1377.0, '166': -342.0, '167': -541.0, '172': -10.0, '176': -270.0, '181': -686.0, '182': -50.0, '184': -10148.0, '186': -419.0, '187': -372.0, '188': -271.0, '190': -5771.0, '192': -8606.0, '193': -474.0, '196': -4940.0, '197': -6538.0, '201': -1470.0, '202': -553.0, '204': -40.0, '208': -4036.0, '215': -140235.0, '216': -103446.0, '220': -665.0, '222': -137.0, '223': -37.0, '226': -323.0}",AUSTRALIA,AU
AUSTRIA,"{'8': -1030.0, '11': -18417.0, '12': 1738183.0, '14': -41.0, '18': -57.0, '19': -3354.0, '22': -47.0, '24': -176.0, '26': -194.0, '28': -2968.0, '30': -1938.0, '35': -17061.0, '37': -482, '38': -55.0, '39': -22.0, '48': -152.0, '50': -4843.0, '53': -349.0, '54': -3002.0, '56': -1984.0, '59': -214.0, '60': -571.0, '61': -607.0, '62': -11.0, '65': -196.0, '71': -660.0, '72': -9993.0, '77': -24.0, '78': -285790.0, '81': -2295.0, '87': 0.0, '90': -164.0, '92': -11188.0, '93': -163.0, '98': -898.0, '100': -4916.0, '101': -15672.0, '103': -680.0, '104': -116.0, '111': -101.0, '115': -801.0, '116': -3983.0, '117': -80.0, '118': -1026.0, '122': -23.0, '124': -331.0, '129': -573.0, '133': -15.0, '134': -256.0, '139': -636.0, '142': -7242.0, '144': -1906.0, '145': -38.0, '151': -1688.0, '156': -129.0, '159': -371.0, '160': -533.0, '161': -4997.0, '162': -576.0, '166': -3282.0, '167': -2950.0, '172': -8.0, '181': -7132.0, '186': -4722.0, '187': -2814.0, '190': -6495.0, '192': -11936.0, '196': -5901.0, '197': -59494.0, '199': -61.0, '208': -19717.0, '215': -21163.0, '216': -39133.0, '222': -779.0}",AUSTRIA,AT
AZERBAIJAN,"{'9': -78560.0, '11': -753.0, '12': -1410.0, '13': 252228.0, '18': -13294.0, '19': -292.0, '24': -1.0, '30': -1930.0, '35': -4139.0, '37': 0, '48': -3.0, '53': -34.0, '54': -1596.0, '56': -394.0, '61': -31.0, '65': -1625.0, '71': -178.0, '72': -4702.0, '77': -6023.0, '78': -26690.0, '81': -515.0, '87': -3.0, '92': -617.0, '93': -19.0, '96': -4788.0, '98': -55.0, '100': -13136.0, '101': -930.0, '105': -50912.0, '109': -4554.0, '111': -1953.0, '116': 0.0, '117': -690.0, '118': -192.0, '131': -727.0, '142': -918.0, '151': -557.0, '161': -348.0, '162': -73.0, '166': -134.0, '167': -766918.0, '186': -56.0, '187': -40.0, '192': -831.0, '196': -3534.0, '197': -853.0, '199': -168.0, '208': -23090.0, '209': -7596.0, '213': -83674.0, '215': -2271.0, '216': -31914.0, '219': -20201.0}",AZERBAIJAN,AZ
BAHAMAS,"{'7': -1.0, '11': -332.0, '12': -23.0, '14': 63583.0, '17': -48.0, '19': -13.0, '24': 0.0, '25': 0.0, '28': -19.0, '30': -3.0, '35': -1759.0, '37': -1471, '38': -205.0, '48': -14.0, '52': -94.0, '54': -1.0, '56': -20.0, '58': -11.0, '59': -40.0, '60': -50.0, '61': -14.0, '71': -6.0, '72': -48.0, '81': -20.0, '83': -30.0, '87': -11.0, '89': -8.0, '92': -7.0, '93': -5.0, '98': -28.0, '101': -88.0, '102': -674.0, '116': -2.0, '117': 0.0, '118': -8.0, '139': -50.0, '142': -62.0, '145': -86.0, '151': -23.0, '166': -3.0, '171': -23.0, '172': -9.0, '187': 0.0, '192': -77.0, '196': -35.0, '197': -144.0, '210': -307.0, '215': -2442.0, '216': -46921.0}",BAHAMAS,BS
BAHRAIN,"{'8': -12.0, '11': -2055.0, '12': -41.0, '15': 936094.0, '16': -29574.0, '19': -60.0, '24': 0.0, '28': -32.0, '30': -28.0, '35': -2572.0, '37': -21, '48': -1.0, '53': -104.0, '54': -25.0, '56': -109.0, '59': -21.0, '61': -404.0, '65': 0.0, '71': -20.0, '72': -181.0, '81': -21.0, '87': -1.0, '92': -37.0, '93': 0.0, '98': -93.0, '101': -72.0, '104': -427.0, '108': -1407.0, '111': 0.0, '112': -93.0, '115': -1032.0, '117': -5.0, '118': -9.0, '139': -49.0, '142': -215.0, '151': -34.0, '152': -1140.0, '155': -7900.0, '160': -117.0, '164': -777.0, '166': -19.0, '186': -14.0, '190': -197.0, '192': -74.0, '193': -402.0, '196': -113.0, '197': -210.0, '214': -1998.0, '215': -6575.0}",BAHRAIN,BH
BANGLADESH,"{'11': -52907.0, '12': -3326.0, '15': -115071.0, '16': 2115408.0, '19': -2694.0, '23': -53.0, '24': -30.0, '28': -5384.0, '29': -1343.0, '30': -539.0, '35': -63250.0, '37': 0, '43': -3115.0, '48': -3.0, '53': -1526.0, '54': -718.0, '56': -1919.0, '61': -255.0, '62': -6.0, '65': -263.0, '70': -1398.0, '71': -2983.0, '72': -12878.0, '78': -13612.0, '81': -2851.0, '87': 0.0, '92': -244.0, '93': -12.0, '94': -2488471.0, '98': -3706.0, '101': -135468.0, '103': -15702.0, '104': -11693.0, '108': -380046.0, '111': -15.0, '112': -2582.0, '115': -1334.0, '116': -6.0, '117': -44.0, '118': -142.0, '121': -415717.0, '122': -40390.0, '124': -22.0, '127': -8415.0, '129': -54.0, '138': -1066.0, '139': -32.0, '141': -222.0, '142': -1843.0, '144': -2652.0, '150': -371.0, '151': -1331.0, '152': -316467.0, '156': -51.0, '160': -166.0, '161': -128.0, '162': -1684.0, '164': -261672.0, '166': -161.0, '167': -469.0, '179': -1277624.0, '182': -223.0, '184': -79857.0, '186': -21.0, '187': -20.0, '190': -15565.0, '192': -14594.0, '193': -673.0, '196': -10263.0, '197': -2761.0, '201': -1458.0, '202': -67.0, '208': -450.0, '212': -117.0, '214': -1095231.0, '215': -241799.0, '216': -261496.0, '223': -8325.0}",BANGLADESH,BD
BARBADOS,"{'7': -315.0, '8': -7.0, '11': -483.0, '12': -19.0, '14': -253.0, '17': 34869.0, '19': -22.0, '24': 0.0, '25': 0.0, '28': -35.0, '30': -3.0, '35': -15177.0, '37': -4578, '38': -203.0, '48': -13.0, '52': -222.0, '54': -1.0, '56': -49.0, '58': -169.0, '62': -40.0, '65': -1.0, '71': -12.0, '72': -86.0, '81': -8.0, '83': -180.0, '87': -9.0, '89': -157.0, '92': -3.0, '93': 0.0, '98': -18.0, '101': -52.0, '102': -541.0, '111': -2.0, '118': -6.0, '142': -101.0, '151': -24.0, '156': -38.0, '166': -2.0, '171': -98.0, '172': -403.0, '175': -355.0, '186': -1.0, '187': -1.0, '190': -33.0, '192': -56.0, '196': -119.0, '197': -90.0, '206': -1184.0, '215': -26622.0, '216': -51738.0, '217': -367.0, '222': -5.0}",BARBADOS,BB
BELARUS,"{'8': -307.0, '9': -304.0, '11': -2433.0, '12': -2113.0, '13': -437.0, '18': 1067090.0, '19': -585.0, '24': -5.0, '28': -10.0, '30': -1110.0, '35': -12049.0, '37': 0, '48': -6.0, '50': -87.0, '53': -336.0, '54': -5864.0, '56': -820.0, '61': -279.0, '65': -10521.0, '71': -443.0, '72': -3887.0, '77': -1101.0, '78': -28325.0, '81': -1485.0, '92': -266.0, '93': -68.0, '98': -698.0, '100': -22449.0, '101': -13321.0, '105': -72761.0, '109': -9684.0, '111': -42251.0, '115': -811.0, '116': -3.0, '117': -33813.0, '118': -324.0, '124': -18.0, '131': -2076.0, '142': -529.0, '151': -1211.0, '161': -100175.0, '162': -1084.0, '166': -243.0, '167': -763879.0, '181': -135.0, '186': -262.0, '187': -213.0, '190': -286.0, '192': -5245.0, '196': -3407.0, '197': -1662.0, '199': -680.0, '208': -410.0, '209': -2042.0, '213': -249641.0, '215': -3635.0, '216': -51507.0, '219': -26330.0}",BELARUS,BY
BELGIUM,"{'4': -230.0, '8': -541.0, '11': -8067.0, '12': -3013.0, '14': -30.0, '18': -34.0, '19': 2005479.0, '22': -6.0, '24': -419.0, '28': -2151.0, '30': -2606.0, '32': -718.0, '35': -20395.0, '36': -9.0, '37': -988, '38': -12.0, '48': -350.0, '50': -351.0, '52': -104.0, '53': -256.0, '54': -819.0, '56': -2426.0, '59': -266.0, '60': -893.0, '61': -564.0, '62': -52.0, '65': -273.0, '71': -690.0, '72': -163609.0, '73': -212.0, '75': -501.0, '77': -21.0, '78': -38772.0, '81': -5225.0, '84': -424.0, '87': -37.0, '91': -25.0, '92': -2574.0, '93': -206.0, '98': -1877.0, '100': -5818.0, '101': -45918.0, '103': -850.0, '104': -71.0, '111': -123.0, '115': -720.0, '116': -43.0, '117': -272.0, '118': -21583.0, '124': -500.0, '126': -64.0, '127': -118.0, '129': -969.0, '136': -1512.0, '139': -192.0, '142': -61744.0, '145': -45.0, '151': -1890.0, '156': -324.0, '159': -1166.0, '160': -566.0, '161': -6884.0, '162': -3924.0, '166': -4593.0, '167': -469.0, '172': -7.0, '181': -220.0, '182': -37.0, '186': -1029.0, '187': -331.0, '190': -9577.0, '192': -51896.0, '196': -3073.0, '197': -17370.0, '203': -64.0, '208': -12035.0, '212': -35.0, '215': -31425.0, '216': -30733.0, '222': -370.0}",BELGIUM,BE
