COUNTRY,flows,short,ISO Code
DENMARK,"{'4': -119.0, '8': -247.0, '11': -10877.0, '12': -1368.0, '14': -15.0, '18': -195.0, '19': -2467.0, '22': -18.0, '23': -38.0, '24': -118.0, '27': -344.0, '28': -626.0, '30': -555.0, '35': -13470.0, '37': -59, '38': -19.0, '39': -1.0, '48': -75.0, '50': -95.0, '53': -164.0, '54': -423.0, '56': 717574.0, '59': -25.0, '60': -191.0, '61': -302.0, '65': -225.0, '68': -4150.0, '71': -1122.0, '72': -5805.0, '78': -28815.0, '81': -917.0, '82': -4539.0, '87': -63.0, '92': -643.0, '93': -3918.0, '98': -1122.0, '100': -1859.0, '101': -3186.0, '103': -712.0, '104': -49.0, '111': -238.0, '115': -821.0, '116': -15.0, '117': -605.0, '118': -1598.0, '124': -393.0, '129': -288.0, '134': -96.0, '139': -117.0, '142': -4133.0, '144': -2258.0, '145': -53.0, '151': -24842.0, '156': -176.0, '159': -458.0, '160': -468.0, '161': -1173.0, '162': -451.0, '166': -2001.0, '167': -229.0, '181': -184.0, '186': -326.0, '187': -69.0, '190': -3044.0, '192': -11659.0, '196': -41033.0, '197': -5537.0, '199': -129.0, '201': -665.0, '208': -4627.0, '212': -143.0, '215': -26960.0, '216': -33223.0, '222': -136.0}",DENMARK,DK
DJIBOUTI,"{'11': -214.0, '12': -8.0, '19': -1464.0, '30': -2.0, '35': -2405.0, '37': 0, '53': -1.0, '54': -1.0, '56': -18.0, '57': 119738.0, '61': -371.0, '67': -3439.0, '71': -12.0, '72': -7515.0, '81': -38.0, '87': -16.0, '92': -3.0, '93': 0.0, '98': 0.0, '101': -77.0, '115': -1519.0, '118': -10.0, '142': -124.0, '151': -61.0, '166': -9.0, '192': -26.0, '196': -457.0, '197': -124.0, '215': -451.0}",DJIBOUTI,DJ
DOMINICA,"{'7': -4963.0, '8': -4.0, '10': -119.0, '11': -42.0, '12': -38.0, '14': -79.0, '17': -339.0, '19': -198.0, '24': -3.0, '25': 0.0, '28': -27.0, '30': 0.0, '35': -2991.0, '37': -20189, '48': -6.0, '52': -124.0, '54': -2.0, '56': -15.0, '58': 8284.0, '59': -14.0, '71': -7.0, '72': -7368.0, '73': -465.0, '81': -16.0, '83': -74.0, '84': -3997.0, '87': -11.0, '89': -25.0, '92': -2.0, '93': -2.0, '98': 0.0, '101': -198.0, '102': -138.0, '117': 0.0, '118': -2.0, '135': -306.0, '142': -89.0, '151': -22.0, '156': -68.0, '163': -513.0, '166': -11.0, '171': -206.0, '172': -249.0, '175': -86.0, '186': -2.0, '187': 0.0, '192': -1302.0, '196': -46.0, '197': -399.0, '215': -8625.0, '216': -36016.0, '217': -5510.0, '222': 0.0}",DOMINICA,DM
DOMINICAN REPUBLIC,"{'6': -680.0, '7': -1865.0, '8': -689.0, '10': -4839.0, '11': -235.0, '12': -3224.0, '14': -310.0, '19': -3078.0, '22': -233.0, '24': -128.0, '25': 0.0, '28': -1274.0, '30': -56.0, '35': -11414.0, '37': -77174, '38': -72.0, '42': -36485.0, '44': -1046.0, '48': -1317.0, '51': -14.0, '52': -6665.0, '53': -8.0, '54': -93.0, '56': -208.0, '59': 603794.0, '60': -369.0, '62': -72.0, '65': -5.0, '71': -205.0, '72': -3992.0, '78': -12304.0, '81': -575.0, '84': -864.0, '86': -115.0, '87': 0.0, '90': -2377.0, '91': -137.0, '92': -59.0, '93': -58.0, '98': -9.0, '101': -48083.0, '111': 0.0, '116': -92.0, '118': -514.0, '129': -3107.0, '135': -23.0, '142': -9541.0, '145': -71.0, '151': -963.0, '156': -9711.0, '159': -342.0, '161': -25.0, '162': -153.0, '163': -46905.0, '166': -203.0, '172': -35.0, '186': -26.0, '187': -199.0, '192': -184832.0, '196': -883.0, '197': -12377.0, '210': -1989.0, '215': -1246.0, '216': -1167738.0, '217': -4642.0, '222': -13899.0}",DOMINICAN REPUBLIC,DO
ECUADOR,"{'8': -963.0, '11': -2949.0, '12': -796.0, '14': -44.0, '19': -6712.0, '24': -1115.0, '28': -2195.0, '30': -28.0, '35': -16115.0, '37': -1044, '42': -42266.0, '44': -19180.0, '48': -1526.0, '51': -47.0, '53': -6.0, '54': -116.0, '56': -650.0, '59': -605.0, '60': 784787.0, '61': -11.0, '62': -124.0, '65': -24.0, '71': -225.0, '72': -4730.0, '78': -9414.0, '81': -85.0, '86': -178.0, '87': 0.0, '91': -470.0, '92': -219.0, '93': -55.0, '98': -42.0, '101': -83168.0, '111': -3.0, '116': -12.0, '117': -5.0, '118': -202.0, '129': -3497.0, '142': -2792.0, '145': -115.0, '151': -833.0, '156': -3201.0, '159': -12795.0, '160': -487.0, '161': -57.0, '162': -511.0, '163': -348.0, '166': -254.0, '167': -239.0, '186': -48.0, '187': -10.0, '192': -430275.0, '196': -2643.0, '197': -7615.0, '215': -7739.0, '216': -425294.0, '222': -34858.0}",ECUADOR,EC
EGYPT,"{'7': -9.0, '8': -240.0, '11': -49257.0, '12': -14779.0, '14': -31.0, '15': -94638.0, '19': -5188.0, '24': -22.0, '28': -3957.0, '30': -358.0, '35': -69587.0, '37': -54, '39': -39.0, '48': -13.0, '50': -232.0, '53': -5156.0, '54': -1145.0, '56': -1944.0, '60': -87.0, '61': 543937.0, '65': -161.0, '71': -1505.0, '72': -35390.0, '78': -25905.0, '79': -43.0, '81': -28834.0, '86': -32.0, '87': -24.0, '92': -2220.0, '93': -45.0, '97': -14498.0, '98': -609.0, '100': -20489.0, '101': -128857.0, '103': -1959.0, '104': -101340.0, '108': -421025.0, '111': -80.0, '112': -70643.0, '115': -22420.0, '116': -19.0, '117': -86.0, '118': -347.0, '122': -38.0, '123': -848.0, '124': -1410.0, '126': -245.0, '129': -221.0, '136': -2005.0, '139': -180.0, '142': -15893.0, '144': -1774.0, '149': -1971.0, '151': -1355.0, '152': -88261.0, '155': -21588.0, '156': -87.0, '159': -35.0, '160': -170.0, '161': -594.0, '162': -480.0, '163': -14.0, '164': -183544.0, '166': -592.0, '167': -1058.0, '179': -962432.0, '181': -77.0, '186': -260.0, '187': -142.0, '190': -5564.0, '191': -5275.0, '192': -5571.0, '193': -131.0, '194': -18566.0, '196': -8361.0, '197': -6673.0, '207': -1206.0, '208': -1079.0, '212': 0.0, '214': -899612.0, '215': -36831.0, '216': -204993.0, '222': -173.0, '225': -7739.0, '226': -200.0}",EGYPT,EG
EL SALVADOR,"{'8': -74.0, '11': -12310.0, '12': -108.0, '14': -77.0, '19': -1081.0, '20': -10016.0, '24': -140.0, '28': -289.0, '30': -11.0, '35': -51776.0, '37': -618, '44': -782.0, '48': -16682.0, '53': -8.0, '54': -45.0, '56': -104.0, '59': -278.0, '60': -544.0, '61': -212.0, '62': 42767.0, '65': -4.0, '71': -74.0, '72': -1271.0, '78': -1475.0, '81': -49.0, '86': -20683.0, '87': -2.0, '91': -9071.0, '92': -21.0, '93': -27.0, '98': -28.0, '101': -16672.0, '102': -133.0, '115': -754.0, '116': -1.0, '118': -47.0, '129': -16807.0, '142': -498.0, '145': -2557.0, '151': -225.0, '156': -4147.0, '159': -203.0, '162': -96.0, '163': -130.0, '166': -67.0, '186': -1.0, '187': -1.0, '192': -12408.0, '196': -3200.0, '197': -970.0, '215': -1284.0, '216': -1410659.0, '222': -956.0}",EL SALVADOR,SV
EQUATORIAL GUINEA,"{'12': -7.0, '19': -118.0, '28': -70.0, '34': -3911.0, '35': -63.0, '37': 0, '46': -1570.0, '54': 0.0, '56': -8.0, '63': 230618.0, '71': -10.0, '72': -443.0, '75': -87411.0, '81': -7.0, '87': -10274.0, '92': -5.0, '93': -24.0, '101': -176.0, '118': -8.0, '123': -941.0, '142': -49.0, '151': -13.0, '162': -251.0, '166': -181.0, '167': -102.0, '178': -129.0, '183': 0.0, '192': -22528.0, '196': -54.0, '197': -92.0, '203': -107.0, '215': -222.0}",EQUATORIAL GUINEA,GQ
ERITREA,"{'11': -5879.0, '12': -357.0, '15': -2032.0, '19': -2464.0, '24': 0.0, '30': -13.0, '35': -16162.0, '37': 0, '53': -1.0, '54': -8.0, '56': -5599.0, '61': -18232.0, '64': 13934.0, '67': -191256.0, '71': -866.0, '72': -7811.0, '78': -63326.0, '81': -1333.0, '87': -20.0, '92': -40.0, '93': -9.0, '97': -812.0, '98': -41.0, '101': -16375.0, '104': -73.0, '106': -1851.0, '108': -5127.0, '111': -5.0, '115': -5501.0, '116': -16.0, '117': -30.0, '118': -701.0, '124': -2023.0, '142': -16279.0, '151': -22974.0, '161': -39.0, '164': -5881.0, '166': -52.0, '183': 0.0, '187': -64.0, '189': -36.0, '190': -688.0, '191': -3402.0, '192': -183.0, '194': -220960.0, '196': -43380.0, '197': -37590.0, '212': -14499.0, '214': -19334.0, '215': -15911.0, '216': -51625.0, '222': -25.0, '225': -1937.0}",ERITREA,ER
ESTONIA,"{'8': -48.0, '11': -3887.0, '12': -571.0, '13': -462.0, '14': -15.0, '18': -3194.0, '19': -962.0, '24': -6.0, '28': -231.0, '30': -103.0, '35': -3444.0, '37': -15, '48': -3.0, '50': -17.0, '53': -26.0, '54': -256.0, '56': -1485.0, '61': -25.0, '65': 199277.0, '71': -47280.0, '72': -1312.0, '77': -121.0, '78': -13007.0, '81': -130.0, '92': -160.0, '93': -178.0, '98': -3145.0, '101': -1535.0, '105': -1170.0, '109': -557.0, '111': -2847.0, '116': -1.0, '117': -822.0, '118': -597.0, '142': -1352.0, '151': -4742.0, '159': -29.0, '161': -259.0, '162': -145.0, '166': -122.0, '167': -58718.0, '186': -69.0, '187': -24.0, '190': -172.0, '192': -2529.0, '196': -10351.0, '197': -854.0, '208': -153.0, '213': -10392.0, '215': -12967.0, '216': -16109.0, '222': -47.0}",ESTONIA,EE
ESWATINI,"{'11': -408.0, '12': -23.0, '14': -11.0, '19': -61.0, '27': -608.0, '30': -1.0, '35': -429.0, '37': -11, '48': -1.0, '54': 0.0, '56': -51.0, '66': 32858.0, '71': -10.0, '72': -21.0, '81': -19.0, '87': -3.0, '92': -2.0, '98': -22.0, '101': -49.0, '113': -67.0, '118': -1.0, '139': -204.0, '142': -95.0, '151': -19.0, '162': -660.0, '166': -7.0, '186': 0.0, '190': -45435.0, '196': -30.0, '197': -88.0, '200': -77.0, '208': -103.0, '215': -1534.0}",ESWATINI,SZ
ETHIOPIA,"{'7': -92.0, '8': -31.0, '11': -15951.0, '12': -1382.0, '15': -1159.0, '18': -23.0, '19': -5283.0, '24': -2.0, '28': -13.0, '30': -63.0, '35': -35309.0, '37': -92, '48': -1.0, '53': -78.0, '54': -122.0, '56': -2296.0, '57': -12578.0, '61': -16256.0, '64': -94.0, '65': -14.0, '66': -28.0, '67': 1085517.0, '68': -39.0, '71': -2456.0, '72': -9923.0, '78': -23086.0, '79': -33.0, '81': -2466.0, '87': -10.0, '92': -199.0, '93': -88.0, '98': -175.0, '100': -78146.0, '101': -28171.0, '104': -75.0, '106': -32115.0, '108': -3899.0, '115': -1952.0, '116': -9.0, '117': -2.0, '118': -244.0, '124': -1034.0, '139': -220.0, '142': -18588.0, '144': -1520.0, '145': -83.0, '151': -9493.0, '161': -55.0, '162': -32.0, '164': -1697.0, '166': -78.0, '167': -270.0, '172': 0.0, '179': -164250.0, '186': -39.0, '187': -15.0, '189': -21764.0, '190': -44181.0, '191': -13110.0, '192': -5012.0, '194': -70173.0, '196': -21223.0, '197': -8145.0, '201': -2.0, '208': -204.0, '212': -3009.0, '214': -11049.0, '215': -15278.0, '216': -245671.0, '222': -32.0, '225': -16039.0}",ETHIOPIA,ET
FAEROE ISLANDS,"{'11': -20.0, '12': 0.0, '37': 0, '56': -11057.0, '65': 0.0, '68': 6812.0, '72': -4.0, '81': 0.0, '82': -273.0, '92': 0.0, '93': -327.0, '98': -2.0, '111': -1.0, '142': -7.0, '151': -796.0, '166': -3.0, '186': 0.0, '215': -437.0}",FAEROE ISLANDS,FO
FALKLAND ISLANDS,"{'11': -117.0, '37': 0, '60': -54.0, '65': 0.0, '69': 1957.0, '92': -1.0, '98': -3.0, '142': -1.0, '151': 0.0, '215': -1342.0}",FALKLAND ISLANDS,FK
FIJI,"{'3': -332.0, '8': -1.0, '11': -80860.0, '12': -25.0, '19': -24.0, '24': 0.0, '30': 0.0, '35': -26559.0, '37': 0, '47': -527.0, '48': -1.0, '53': -1.0, '54': -6.0, '56': -32.0, '65': 0.0, '70': 14087.0, '71': -9.0, '72': -177.0, '74': -30.0, '81': 0.0, '87': -1.0, '92': -4.0, '93': 0.0, '94': -779.0, '98': -14.0, '101': -39.0, '107': -531.0, '118': -4.0, '125': -117.0, '140': -105.0, '142': -77.0, '144': -64271.0, '148': -39.0, '151': -41.0, '157': -83.0, '166': -5.0, '176': -110.0, '187': 0.0, '188': -100.0, '190': -53.0, '192': -42.0, '196': -69.0, '197': -96.0, '205': -470.0, '211': -55.0, '215': -6397.0, '216': -51535.0, '220': -235.0}",FIJI,FJ
FINLAND,"{'8': -71.0, '11': -9779.0, '12': -1771.0, '18': -2079.0, '19': -2666.0, '24': -43.0, '28': -655.0, '30': -211.0, '35': -10255.0, '37': -37, '38': -10.0, '48': -26.0, '50': -36.0, '53': -489.0, '54': -412.0, '56': -4104.0, '59': -27.0, '60': -131.0, '61': -249.0, '65': -5928.0, '71': 386052.0, '72': -3479.0, '77': -10.0, '78': -18072.0, '81': -784.0, '82': -12.0, '87': -4.0, '92': -922.0, '93': -236.0, '98': -1107.0, '100': -297.0, '101': -2819.0, '103': -841.0, '109': -111.0, '111': -151.0, '115': -885.0, '116': -8.0, '117': -164.0, '118': -1154.0, '124': -234.0, '129': -167.0, '133': -2.0, '139': -81.0, '142': -3982.0, '151': -7182.0, '156': -55.0, '159': -132.0, '160': -118.0, '161': -327.0, '162': -381.0, '166': -420.0, '167': -2207.0, '181': -33.0, '186': -208.0, '187': -39.0, '190': -780.0, '192': -13200.0, '193': -60.0, '196': -151661.0, '197': -5466.0, '208': -2295.0, '215': -20999.0, '216': -31795.0, '222': -67.0}",FINLAND,FI
FRANCE,"{'2': -543.0, '4': -4194.0, '7': -41.0, '8': -8239.0, '11': -41469.0, '12': -9184.0, '14': -152.0, '15': -1911.0, '19': -189544.0, '21': -1402.0, '22': -99.0, '23': -30.0, '24': -1377.0, '25': 0.0, '26': -162.0, '28': -12138.0, '30': -3021.0, '32': -358.0, '33': -294.0, '34': -5376.0, '35': -113686.0, '36': -211.0, '37': -108253, '38': -41.0, '39': -10135.0, '40': -1216.0, '41': -2021.0, '42': -9260.0, '44': -3180.0, '45': -479.0, '46': -10251.0, '48': -1046.0, '50': -1655.0, '51': -69.0, '53': -908.0, '54': -3817.0, '56': -8182.0, '58': -80.0, '59': -3894.0, '60': -2366.0, '61': -2874.0, '62': -216.0, '63': -5482.0, '64': -380.0, '65': -960.0, '71': -2684.0, '72': 8524876.0, '73': -23526.0, '74': -22404.0, '75': -16146.0, '77': -39.0, '78': -161772.0, '79': -254.0, '81': -6826.0, '82': -13.0, '84': -50960.0, '86': -275.0, '87': -237.0, '88': -79.0, '90': -434.0, '91': -146.0, '92': -4839.0, '93': -910.0, '94': -1735.0, '98': -12780.0, '100': -40636.0, '101': -128283.0, '103': -13550.0, '104': -396.0, '108': -5218.0, '111': -279.0, '112': -87.0, '114': -51.0, '115': -5364.0, '116': -129.0, '117': -519.0, '118': -42979.0, '119': -9922.0, '122': -124.0, '123': -6291.0, '124': -1296.0, '127': -1519.0, '128': -14560.0, '129': -10569.0, '132': -7790.0, '133': -86.0, '134': -446.0, '136': -38063.0, '139': -560.0, '142': -30917.0, '143': -46642.0, '144': -10507.0, '145': -154.0, '151': -6676.0, '152': -3377.0, '156': -1163.0, '158': -663.0, '159': -7375.0, '160': -1280.0, '161': -34461.0, '162': -104164.0, '163': -61.0, '164': -1079.0, '165': -87069.0, '166': -21756.0, '167': -2564.0, '172': -51.0, '174': -703.0, '176': -6.0, '177': -30.0, '180': -14357.0, '181': -5490.0, '182': -242.0, '186': -3043.0, '187': -1182.0, '190': -9124.0, '192': -221373.0, '193': -300.0, '196': -11443.0, '197': -170155.0, '201': -1369.0, '203': -798.0, '207': -9151.0, '208': -21973.0, '212': -207.0, '214': -18141.0, '215': -170270.0, '216': -162365.0, '218': -560.0, '220': -555.0, '222': -3559.0, '223': -215.0, '224': -889.0, '226': -84.0}",FRANCE,FR
FRENCH GUIANA,"{'7': -4.0, '11': -20.0, '24': -1.0, '25': 0.0, '28': -896.0, '35': -299.0, '37': -3257, '48': -14.0, '56': 0.0, '58': -22.0, '73': 119249.0, '81': 0.0, '84': -1088.0, '86': -20.0, '159': -61.0, '172': -135.0, '222': -27.0}",FRENCH GUIANA,GF
FRENCH POLYNESIA,"{'11': -590.0, '12': -7.0, '19': -105.0, '35': -191.0, '37': 0, '47': -128.0, '54': -2.0, '56': 0.0, '71': 0.0, '74': 30081.0, '81': -7.0, '98': 0.0, '118': -4.0, '123': -398.0, '142': -22.0, '143': -563.0, '151': -7.0, '166': -6.0, '186': 0.0, '187': 0.0, '215': -117.0, '224': -10.0}",FRENCH POLYNESIA,PF
GABON,"{'11': -63.0, '12': -46.0, '19': -770.0, '24': 0.0, '28': -38.0, '30': -8.0, '34': -1228.0, '35': -1156.0, '36': -7.0, '37': 0, '40': -401.0, '46': -3141.0, '48': -1.0, '54': -10.0, '56': -10.0, '63': -307.0, '71': -14.0, '72': -22627.0, '75': 416651.0, '78': -577.0, '81': -5.0, '87': -70.0, '92': -7.0, '93': 0.0, '98': -3.0, '101': -529.0, '111': 0.0, '118': -81.0, '123': -13867.0, '126': -90.0, '142': -94.0, '151': -11.0, '162': -647.0, '166': -49.0, '178': -210.0, '187': 0.0, '190': -373.0, '192': -374.0, '196': -33.0, '197': -320.0, '203': -903.0, '215': -322.0}",GABON,GA
GAMBIA,"{'11': -138.0, '12': -760.0, '19': -934.0, '30': -9.0, '35': -719.0, '36': -4.0, '37': 0, '54': -13.0, '56': -684.0, '60': -34.0, '61': -28.0, '65': -2.0, '71': -902.0, '72': -2178.0, '76': 215659.0, '78': -17200.0, '79': -1888.0, '81': -49.0, '87': -268.0, '88': -1092.0, '92': -13.0, '93': -19.0, '98': -63.0, '101': -23086.0, '111': -1.0, '114': -630.0, '116': 0.0, '117': 0.0, '118': -76.0, '123': -1451.0, '139': -88.0, '142': -1072.0, '151': -1252.0, '162': -128.0, '166': -150.0, '180': -5622.0, '183': -524.0, '186': -4.0, '187': -19.0, '192': -19489.0, '196': -5501.0, '197': -944.0, '203': -1071.0, '212': 0.0, '215': -10015.0, '216': -33653.0}",GAMBIA,GM
GEORGIA,"{'9': -37921.0, '11': -720.0, '12': -3716.0, '13': -48815.0, '18': -8381.0, '19': -690.0, '24': -2.0, '28': -80.0, '30': -492.0, '35': -2765.0, '37': 0, '48': -14.0, '53': -15201.0, '54': -1453.0, '56': -251.0, '65': -1771.0, '71': -111.0, '72': -8673.0, '77': 79368.0, '78': -25387.0, '81': -85065.0, '92': -361.0, '93': -52.0, '98': -290.0, '100': -9046.0, '101': -15813.0, '105': -3445.0, '109': -3183.0, '111': -1285.0, '116': -2.0, '117': -488.0, '118': -97.0, '124': -116.0, '131': -595.0, '142': -490.0, '151': -338.0, '156': -68.0, '161': -428.0, '162': -1226.0, '166': -254.0, '167': -449973.0, '181': -47.0, '186': -93.0, '187': -31.0, '192': -11824.0, '196': -1975.0, '197': -1098.0, '199': -664.0, '208': -8952.0, '213': -65475.0, '215': -2427.0, '216': -39422.0, '222': -11.0}",GEORGIA,GE
GERMANY,"{'2': -761.0, '4': -364.0, '7': -85.0, '8': -9332.0, '9': -631.0, '11': -124818.0, '12': -232836.0, '13': -270.0, '14': -308.0, '18': -64.0, '19': -81650.0, '20': -76.0, '22': -158.0, '23': -27.0, '24': -2251.0, '26': -516.0, '27': -336.0, '28': -20625.0, '30': -12588.0, '33': -39.0, '34': -340.0, '35': -157059.0, '36': -69.0, '37': -4540, '38': -151.0, '42': -7559.0, '44': -2156.0, '46': -574.0, '48': -2238.0, '50': -31783.0, '51': -106.0, '52': -143.0, '53': -2582.0, '54': -17983.0, '56': -37111.0, '58': -29.0, '59': -1938.0, '60': -4606.0, '61': -7771.0, '62': -230.0, '65': -2507.0, '68': -29.0, '71': -6834.0, '72': -203426.0, '74': -360.0, '75': -86.0, '77': -629.0, '78': 15762457.0, '81': -116644.0, '82': -56.0, '84': -287.0, '86': -687.0, '87': -24.0, '90': -883.0, '91': -297.0, '92': -35636.0, '93': -2148.0, '94': -2382.0, '98': -16475.0, '100': -22971.0, '101': -211223.0, '103': -7477.0, '104': -719.0, '109': -1771.0, '111': -2163.0, '112': -159.0, '114': -162.0, '115': -7503.0, '116': -1911.0, '117': -2090.0, '118': -17080.0, '122': -271.0, '124': -2969.0, '127': -136.0, '129': -7272.0, '131': -701.0, '133': -195.0, '134': -1882.0, '136': -1553.0, '139': -9494.0, '142': -123702.0, '144': -24824.0, '145': -313.0, '149': -41.0, '151': -28327.0, '156': -1279.0, '158': -1797.0, '159': -9733.0, '160': -4029.0, '161': -100688.0, '162': -30866.0, '163': -217.0, '166': -30498.0, '167': -141947.0, '172': -47.0, '176': -34.0, '180': -904.0, '181': -16392.0, '182': -85.0, '183': -32.0, '186': -6202.0, '187': -7682.0, '190': -16595.0, '192': -200659.0, '193': -560.0, '196': -52446.0, '197': -357112.0, '199': -132.0, '200': -861.0, '201': -2387.0, '203': -201.0, '206': -280.0, '207': -1537.0, '208': -376288.0, '209': -1029.0, '212': -194.0, '213': -1099.0, '215': -310043.0, '216': -534203.0, '218': -1651.0, '219': -8543.0, '222': -3968.0, '226': -341.0}",GERMANY,DE
GHANA,"{'7': -31.0, '11': -7194.0, '12': -2339.0, '14': -49.0, '19': -10443.0, '21': -16226.0, '22': -20.0, '24': -15.0, '28': -2459.0, '30': -29.0, '31': -33487.0, '35': -24670.0, '36': -43.0, '37': -96, '48': -1.0, '53': -81.0, '54': -426.0, '56': -2263.0, '60': -38.0, '61': -234.0, '65': -59.0, '68': -23.0, '71': -1820.0, '72': -7658.0, '75': -6392.0, '78': -33440.0, '79': 476412.0, '81': -608.0, '87': -564.0, '92': -283.0, '93': -133.0, '98': -576.0, '101': -54680.0, '103': -2375.0, '104': -26.0, '111': -7.0, '113': -163.0, '114': -7524.0, '115': -655.0, '117': -8.0, '118': -67.0, '123': -5857.0, '124': -201.0, '126': -223.0, '139': -148.0, '142': -14923.0, '146': -2145.0, '147': -238284.0, '151': -2094.0, '160': -35.0, '161': -45.0, '162': -218.0, '166': -303.0, '167': -314.0, '172': -16.0, '180': -1845.0, '181': -28.0, '183': -939.0, '186': -27.0, '187': -59.0, '190': -8034.0, '192': -13778.0, '196': -3271.0, '197': -2867.0, '203': -47232.0, '208': -196.0, '212': 0.0, '215': -131095.0, '216': -201086.0, '222': -30.0, '226': -214.0}",GHANA,GH
GIBRALTAR,"{'8': -14.0, '11': -515.0, '12': -11.0, '19': -11.0, '24': 0.0, '30': -9.0, '35': -175.0, '37': 0, '48': -4.0, '53': -1.0, '54': -2.0, '61': -8.0, '65': 0.0, '72': -77.0, '80': 11190.0, '81': -2.0, '93': 0.0, '98': -42.0, '118': -1.0, '142': -34.0, '151': -7.0, '166': -8.0, '190': -63.0, '196': -4.0, '215': -12401.0}",GIBRALTAR,GI
GREECE,"{'1': -29643.0, '8': -1025.0, '9': -1015.0, '11': -119831.0, '12': -6778.0, '14': -96.0, '18': -105.0, '19': -18201.0, '22': -2.0, '24': -28.0, '28': -1956.0, '30': -8061.0, '34': -220.0, '35': -67536.0, '37': -161, '48': -39.0, '50': -136.0, '53': -23581.0, '54': -1248.0, '56': -3702.0, '59': -65.0, '60': -73.0, '61': -1284.0, '65': -171.0, '71': -1674.0, '72': -15488.0, '77': -163.0, '78': -391502.0, '81': 1340456.0, '92': -1361.0, '93': -181.0, '98': -728.0, '100': -2994.0, '101': -17196.0, '104': -60.0, '111': -51.0, '115': -2792.0, '116': -47.0, '117': -103.0, '118': -3163.0, '124': -229.0, '129': -286.0, '131': -443.0, '134': -55.0, '142': -19776.0, '149': -232.0, '151': -3352.0, '156': -389.0, '159': -111.0, '160': -161.0, '161': -4085.0, '162': -212.0, '166': -8458.0, '167': -1950.0, '181': -930.0, '186': -649.0, '187': -127.0, '190': -10878.0, '192': -5373.0, '193': -89.0, '196': -19399.0, '197': -14784.0, '208': -81457.0, '212': -32.0, '215': -75441.0, '216': -116619.0, '222': -691.0}",GREECE,GR
GREENLAND,"{'8': -15.0, '12': -2.0, '19': -3.0, '30': -1.0, '37': 0, '48': -9.0, '51': 0.0, '54': -1.0, '56': -16794.0, '68': -174.0, '72': -12.0, '81': 0.0, '82': 5899.0, '86': -427.0, '92': -1.0, '93': -82.0, '98': 0.0, '111': 0.0, '142': -6.0, '151': -280.0, '186': -2.0, '215': -57.0}",GREENLAND,GL
GRENADA,"{'7': -199.0, '8': -11.0, '10': -287.0, '11': -150.0, '12': -18.0, '14': -34.0, '17': -391.0, '19': -5.0, '24': 0.0, '25': 0.0, '28': -32.0, '35': -11053.0, '37': -11307, '38': -17.0, '48': -9.0, '51': 0.0, '52': -2.0, '54': 0.0, '56': -13.0, '71': -1.0, '81': 0.0, '83': 7213.0, '89': -112.0, '92': -3.0, '98': -14.0, '101': -12.0, '102': -207.0, '118': -2.0, '123': -431.0, '142': -48.0, '151': -16.0, '156': -31.0, '166': -5.0, '171': -58.0, '172': -160.0, '175': -450.0, '186': -1.0, '192': -839.0, '196': -39.0, '197': -41.0, '206': -8913.0, '215': -12556.0, '216': -25303.0, '217': -589.0, '222': -152.0}",GRENADA,GD
GUADELOUPE,"{'7': -78.0, '11': -20.0, '25': 0.0, '35': -552.0, '37': -8542, '52': -109.0, '56': 0.0, '58': -37.0, '59': -57.0, '73': -2271.0, '81': 0.0, '84': 90206.0, '123': -1096.0, '172': -25.0, '208': -61.0}",GUADELOUPE,GP
GUAM,"{'11': -127.0, '12': 0.0, '37': 0, '48': -6.0, '81': 0.0, '85': 80472.0, '150': -731.0, '154': -241.0, '160': -1071.0}",GUAM,GU
GUATEMALA,"{'8': -96.0, '11': -613.0, '12': -433.0, '14': -36.0, '19': -890.0, '20': -26767.0, '24': -158.0, '28': -369.0, '30': -4.0, '35': -18602.0, '37': -1139, '44': -857.0, '48': -3192.0, '51': -18.0, '54': -51.0, '56': -254.0, '59': -446.0, '60': -449.0, '61': -8.0, '62': -9036.0, '65': -10.0, '71': -85.0, '72': -3423.0, '78': -2322.0, '81': -30.0, '86': 84311.0, '91': -4711.0, '92': -32.0, '93': -36.0, '98': -142.0, '101': -2330.0, '102': -307.0, '111': -1.0, '116': 0.0, '118': -120.0, '129': -46318.0, '142': -905.0, '145': -1843.0, '151': -472.0, '156': -1925.0, '159': -308.0, '160': -35.0, '162': -32.0, '163': -331.0, '166': -86.0, '172': -1.0, '186': -5.0, '187': -1.0, '190': -106.0, '192': -10002.0, '196': -875.0, '197': -1144.0, '215': -963.0, '216': -1226849.0, '222': -402.0}",GUATEMALA,GT
