COUNTRY,flows,short,ISO Code
AFGHANISTAN,"{'0': -5853838.0, '37': 0, '153': 102500.0, '199': 4422.0, '219': 219.0}",AFGHANISTAN,AF
ALBANIA,"{'1': -1250451.0, '35': 849.0, '37': 0, '81': 29643.0, '101': 8344.0, '149': 499.0, '208': 1838.0, '216': 2225.0}",ALBANIA,AL
ALGERIA,"{'2': -2022337.0, '37': 0, '72': 543.0, '78': 761.0, '95': 1416.0, '97': 7441.0, '101': 725.0, '104': 2216.0, '108': 1172.0, '112': 1199.0, '115': 2281.0, '121': 859.0, '155': 31097.0, '167': 785.0, '179': 3852.0, '189': 11361.0, '194': 1566.0, '198': 7757.0, '215': 782.0, '216': 1072.0, '225': 2320.0}",ALGERIA,DZ
AMERICAN SAMOA,"{'3': -1832.0, '37': 0, '43': 599.0, '70': 332.0, '144': 725.0, '160': 1118.0, '176': 15880.0, '204': 19.0, '205': 1292.0, '216': 2557.0, '223': 210.0}",AMERICAN SAMOA,AS
ANDORRA,"{'4': -11132.0, '8': 734.0, '11': 69.0, '19': 230.0, '37': 0, '42': 229.0, '56': 119.0, '72': 4194.0, '78': 364.0, '101': 492.0, '136': 505.0, '142': 262.0, '160': 457.0, '162': 11534.0, '192': 22196.0, '196': 51.0, '197': 85.0, '215': 1135.0, '216': 112.0, '218': 108.0}",ANDORRA,AD
ANGOLA,"{'5': -668066.0, '36': 9215.0, '37': 0, '40': 1889.0, '46': 1059.0, '55': 90444.0, '87': 18142.0, '137': 248.0, '139': 890.0, '162': 5292.0, '168': 1260.0, '178': 6852.0, '190': 6295.0, '226': 307.0}",ANGOLA,AO
ANGUILLA,"{'6': -2505.0, '35': 58.0, '37': 2823, '59': 680.0, '89': 397.0, '102': 483.0, '135': 296.0, '171': 942.0, '215': 435.0, '216': 473.0, '217': 422.0}",ANGUILLA,AI
ANTIGUA AND BARBUDA,"{'6': 39.0, '7': -66561.0, '10': 4.0, '11': 6.0, '14': 1.0, '17': 315.0, '20': 13.0, '22': 13.0, '25': 10.0, '35': 453.0, '37': 16748, '43': 139.0, '51': 19.0, '52': 18.0, '58': 4963.0, '59': 1865.0, '61': 9.0, '67': 92.0, '72': 41.0, '73': 4.0, '78': 85.0, '79': 31.0, '83': 199.0, '84': 78.0, '89': 6811.0, '90': 33.0, '91': 6.0, '94': 81.0, '101': 73.0, '102': 4173.0, '103': 19.0, '112': 56.0, '129': 4.0, '135': 1189.0, '142': 15.0, '144': 11.0, '147': 40.0, '153': 0.0, '163': 54.0, '171': 497.0, '172': 706.0, '175': 959.0, '190': 45.0, '192': 11.0, '195': 45.0, '198': 254.0, '206': 752.0, '210': 5.0, '215': 1038.0, '216': 2747.0, '217': 743.0, '222': 39.0}",ANTIGUA AND BARBUDA,AG
ARGENTINA,"{'0': 9.0, '1': 66.0, '2': 103.0, '4': 1.0, '5': 9.0, '8': -1076148.0, '9': 565.0, '10': 1.0, '11': 276.0, '12': 1030.0, '15': 12.0, '17': 7.0, '18': 307.0, '19': 541.0, '20': 6.0, '24': 423136.0, '28': 49267.0, '29': 1.0, '30': 298.0, '31': 11.0, '33': 20.0, '35': 535.0, '36': 24.0, '37': 1988, '42': 215198.0, '43': 14537.0, '44': 8723.0, '46': 41.0, '48': 124.0, '50': 995.0, '51': 1116.0, '53': 46.0, '54': 1810.0, '56': 247.0, '58': 4.0, '59': 689.0, '60': 963.0, '61': 240.0, '62': 74.0, '65': 48.0, '67': 31.0, '70': 1.0, '71': 71.0, '72': 8239.0, '78': 9332.0, '80': 14.0, '81': 1025.0, '82': 15.0, '83': 11.0, '86': 96.0, '87': 1.0, '90': 40.0, '91': 66.0, '92': 822.0, '93': 8.0, '94': 97.0, '95': 21.0, '96': 137.0, '97': 36.0, '98': 64.0, '100': 562.0, '101': 153824.0, '102': 11.0, '103': 4496.0, '104': 74.0, '106': 2.0, '110': 284.0, '111': 125.0, '112': 797.0, '115': 50.0, '116': 78.0, '117': 394.0, '118': 96.0, '119': 7.0, '121': 2.0, '124': 2.0, '129': 1463.0, '131': 459.0, '132': 10.0, '136': 213.0, '137': 11.0, '138': 9.0, '139': 2.0, '142': 389.0, '144': 11.0, '145': 91.0, '146': 1.0, '147': 42.0, '149': 1503.0, '151': 57.0, '153': 5.0, '156': 161.0, '158': 685714.0, '159': 197226.0, '160': 57.0, '161': 7386.0, '162': 5008.0, '163': 76.0, '166': 1087.0, '167': 1902.0, '177': 16.0, '179': 80.0, '184': 2.0, '187': 817.0, '189': 2.0, '190': 127.0, '192': 99006.0, '193': 2.0, '194': 8.0, '195': 5.0, '196': 205.0, '197': 800.0, '198': 1135.0, '200': 1.0, '201': 60.0, '206': 33.0, '207': 44.0, '208': 641.0, '211': 4.0, '212': 1.0, '213': 4451.0, '215': 951.0, '216': 5184.0, '218': 134043.0, '220': 8.0, '222': 176369.0, '223': 5.0, '226': 1.0, '227': 2.0}",ARGENTINA,AR
ARMENIA,"{'9': -958190.0, '13': 78560.0, '18': 304.0, '37': 0, '77': 37921.0, '78': 631.0, '81': 1015.0, '96': 8097.0, '97': 1088.0, '105': 786.0, '112': 848.0, '167': 19082.0, '198': 17416.0, '208': 539.0, '209': 811.0, '213': 2452.0, '219': 983.0}",ARMENIA,AM
