COUNTRY,flows,short,ISO Code
ARUBA,"{'10': -21456.0, '25': 331.0, '37': 11888, '43': 1260.0, '44': 10926.0, '52': 2745.0, '58': 119.0, '59': 4839.0, '83': 287.0, '89': 322.0, '90': 1824.0, '94': 368.0, '102': 833.0, '142': 5128.0, '145': 119.0, '159': 1268.0, '160': 1121.0, '162': 182.0, '175': 126.0, '195': 1494.0, '208': 11.0, '216': 683.0, '222': 17000.0}",ARUBA,AW
AUSTRALIA,"{'0': 60879.0, '1': 3941.0, '2': 1776.0, '3': 0.0, '4': 30.0, '5': 602.0, '7': 63.0, '8': 17900.0, '9': 1658.0, '10': 75.0, '11': -598765.0, '12': 18417.0, '13': 753.0, '14': 332.0, '15': 2055.0, '16': 52907.0, '17': 483.0, '18': 2433.0, '19': 8067.0, '20': 85.0, '21': 117.0, '22': 623.0, '23': 7937.0, '24': 1183.0, '26': 38485.0, '27': 1539.0, '28': 43321.0, '29': 3294.0, '30': 4361.0, '31': 63.0, '32': 2789.0, '33': 38969.0, '34': 548.0, '35': 58843.0, '36': 42.0, '37': 6593, '38': 160.0, '39': 42.0, '40': 63.0, '42': 34316.0, '43': 653232.0, '44': 28338.0, '46': 1884.0, '47': 8745.0, '48': 580.0, '50': 63657.0, '51': 990.0, '52': 160.0, '53': 20884.0, '54': 14045.0, '55': 5535.0, '56': 10877.0, '57': 214.0, '58': 42.0, '59': 235.0, '60': 2949.0, '61': 49257.0, '62': 12310.0, '64': 5879.0, '65': 3887.0, '66': 408.0, '67': 15951.0, '68': 20.0, '69': 117.0, '70': 80860.0, '71': 9779.0, '72': 41469.0, '73': 20.0, '74': 590.0, '75': 63.0, '76': 138.0, '77': 720.0, '78': 124818.0, '79': 7194.0, '80': 515.0, '81': 119831.0, '83': 150.0, '84': 20.0, '85': 127.0, '86': 613.0, '87': 1129.0, '88': 20.0, '89': 709.0, '90': 138.0, '91': 343.0, '92': 22037.0, '93': 613.0, '94': 579264.0, '95': 88852.0, '96': 74322.0, '97': 90780.0, '98': 93742.0, '99': 1000.0, '100': 12666.0, '101': 206282.0, '102': 1409.0, '103': 54136.0, '104': 8012.0, '105': 2304.0, '106': 24557.0, '107': 795.0, '108': 7754.0, '109': 602.0, '110': 11912.0, '111': 5072.0, '112': 101508.0, '113': 160.0, '114': 3973.0, '115': 3079.0, '116': 20.0, '117': 3822.0, '118': 301.0, '119': 343.0, '120': 1658.0, '121': 177286.0, '122': 656.0, '123': 96.0, '124': 45357.0, '125': 52.0, '126': 63.0, '127': 31947.0, '129': 6881.0, '131': 1269.0, '132': 96.0, '133': 3854.0, '134': 2196.0, '136': 2497.0, '137': 1108.0, '138': 38215.0, '139': 1668.0, '140': 785.0, '141': 79427.0, '142': 83585.0, '143': 1754.0, '144': 611266.0, '145': 947.0, '146': 42.0, '147': 12354.0, '148': 1054.0, '149': 53144.0, '150': 0.0, '151': 4748.0, '152': 2260.0, '153': 82497.0, '155': 3424.0, '156': 289.0, '158': 613.0, '159': 12698.0, '160': 286303.0, '161': 57292.0, '162': 20550.0, '163': 204.0, '164': 1507.0, '165': 268.0, '166': 18278.0, '167': 29254.0, '168': 1173.0, '170': 20.0, '171': 18.0, '172': 12.0, '175': 47.0, '176': 32754.0, '179': 15444.0, '180': 483.0, '181': 35652.0, '182': 3231.0, '183': 4447.0, '184': 65909.0, '186': 7366.0, '187': 8454.0, '188': 2627.0, '189': 10155.0, '190': 199690.0, '191': 9510.0, '192': 19947.0, '193': 139456.0, '194': 20992.0, '195': 181.0, '196': 12504.0, '197': 15359.0, '198': 26291.0, '199': 171.0, '200': 5061.0, '201': 82292.0, '202': 10555.0, '203': 408.0, '204': 720.0, '205': 13236.0, '206': 2013.0, '207': 753.0, '208': 43655.0, '209': 127.0, '211': 214.0, '212': 4480.0, '213': 18568.0, '214': 11136.0, '215': 1285149.0, '216': 116620.0, '218': 11449.0, '219': 2185.0, '220': 1592.0, '222': 7560.0, '223': 269812.0, '225': 903.0, '226': 8153.0, '227': 45917.0}",AUSTRALIA,AU
AUSTRIA,"{'0': 47602.0, '1': 4398.0, '2': 1581.0, '4': 3.0, '5': 436.0, '7': 8.0, '8': 1698.0, '9': 3433.0, '10': 1.0, '11': 2548.0, '12': -600740.0, '13': 1410.0, '14': 23.0, '15': 41.0, '16': 3326.0, '17': 19.0, '18': 2113.0, '19': 3013.0, '20': 9.0, '21': 113.0, '22': 15.0, '23': 23.0, '24': 514.0, '26': 168798.0, '27': 23.0, '28': 6173.0, '29': 8.0, '30': 29257.0, '31': 159.0, '32': 99.0, '33': 886.0, '34': 793.0, '35': 2613.0, '36': 54.0, '37': 4827, '38': 6.0, '39': 26.0, '40': 18.0, '42': 1384.0, '43': 17776.0, '44': 2139.0, '45': 0.0, '46': 327.0, '48': 220.0, '50': 46770.0, '51': 1020.0, '53': 346.0, '54': 37118.0, '55': 1007.0, '56': 1368.0, '57': 8.0, '58': 38.0, '59': 3224.0, '60': 796.0, '61': 14779.0, '62': 108.0, '63': 7.0, '64': 357.0, '65': 571.0, '66': 23.0, '67': 1382.0, '68': 0.0, '70': 25.0, '71': 1771.0, '72': 9184.0, '74': 7.0, '75': 46.0, '76': 760.0, '77': 3716.0, '78': 232836.0, '79': 2339.0, '80': 11.0, '81': 6778.0, '82': 2.0, '83': 18.0, '85': 0.0, '86': 433.0, '87': 461.0, '88': 96.0, '89': 19.0, '90': 108.0, '91': 124.0, '92': 79205.0, '93': 206.0, '94': 14992.0, '95': 1442.0, '96': 24092.0, '97': 15343.0, '98': 1290.0, '100': 2226.0, '101': 34205.0, '102': 222.0, '103': 2867.0, '104': 958.0, '105': 2414.0, '106': 1254.0, '108': 490.0, '109': 980.0, '110': 134.0, '111': 1708.0, '112': 1942.0, '113': 6.0, '114': 240.0, '115': 910.0, '116': 332.0, '117': 1537.0, '118': 1178.0, '119': 133.0, '120': 51.0, '121': 588.0, '122': 14.0, '123': 125.0, '124': 121.0, '126': 31.0, '127': 126.0, '129': 2277.0, '131': 3298.0, '132': 23.0, '133': 2242.0, '134': 1937.0, '136': 2411.0, '137': 98.0, '138': 134.0, '139': 246.0, '140': 0.0, '141': 799.0, '142': 9128.0, '143': 0.0, '144': 492.0, '145': 275.0, '146': 40.0, '147': 8535.0, '149': 26880.0, '151': 860.0, '152': 102.0, '153': 6097.0, '154': 0.0, '155': 352.0, '156': 65.0, '157': 76.0, '158': 217.0, '159': 1816.0, '160': 13297.0, '161': 75752.0, '162': 2930.0, '163': 0.0, '164': 63.0, '166': 121355.0, '167': 34745.0, '168': 250.0, '170': 0.0, '171': 0.0, '172': 16.0, '175': 12.0, '176': 6.0, '177': 1.0, '178': 1.0, '179': 828.0, '180': 383.0, '181': 177609.0, '182': 32.0, '183': 236.0, '184': 347.0, '186': 42800.0, '187': 24263.0, '188': 11.0, '189': 8547.0, '190': 2871.0, '192': 7575.0, '193': 973.0, '194': 783.0, '195': 22.0, '196': 3051.0, '197': 15405.0, '198': 53259.0, '199': 633.0, '200': 223.0, '201': 6244.0, '202': 35.0, '203': 220.0, '205': 7.0, '206': 111.0, '207': 4181.0, '208': 159999.0, '209': 230.0, '211': 0.0, '212': 374.0, '213': 14046.0, '214': 558.0, '215': 11721.0, '216': 11648.0, '218': 273.0, '219': 1190.0, '220': 6.0, '222': 1302.0, '223': 3412.0, '225': 366.0, '226': 130.0, '227': 352.0}",AUSTRIA,AT
AZERBAIJAN,"{'0': 176.0, '9': 141756.0, '13': -1163922.0, '18': 437.0, '37': 0, '65': 462.0, '77': 48815.0, '78': 270.0, '96': 1460.0, '105': 3456.0, '109': 2438.0, '131': 268.0, '167': 27452.0, '199': 236.0, '208': 2023.0, '209': 1644.0, '213': 2687.0, '219': 16254.0}",AZERBAIJAN,AZ
BAHAMAS,"{'7': 13.0, '8': 117.0, '11': 88.0, '12': 41.0, '14': -53793.0, '17': 253.0, '19': 30.0, '20': 45.0, '22': 40.0, '27': 13.0, '28': 128.0, '30': 21.0, '35': 1679.0, '37': 41045, '38': 23.0, '42': 36.0, '43': 183.0, '44': 205.0, '48': 56.0, '51': 429.0, '56': 15.0, '58': 79.0, '59': 310.0, '60': 44.0, '61': 31.0, '62': 77.0, '65': 15.0, '66': 11.0, '72': 152.0, '78': 308.0, '79': 49.0, '81': 96.0, '83': 34.0, '86': 36.0, '89': 1430.0, '90': 29629.0, '91': 44.0, '94': 640.0, '95': 34.0, '98': 61.0, '101': 168.0, '102': 8042.0, '103': 36.0, '106': 21.0, '129': 143.0, '142': 56.0, '144': 24.0, '145': 9.0, '147': 170.0, '151': 11.0, '153': 0.0, '156': 54.0, '159': 335.0, '160': 1196.0, '161': 20.0, '162': 15.0, '166': 108.0, '167': 58.0, '171': 35.0, '172': 82.0, '175': 41.0, '190': 110.0, '192': 117.0, '193': 40.0, '196': 29.0, '197': 327.0, '206': 418.0, '210': 1655.0, '212': 11.0, '213': 18.0, '215': 2135.0, '216': 10359.0, '218': 17.0, '222': 30.0, '227': 14.0}",BAHAMAS,BS
BAHRAIN,"{'0': 860.0, '15': -58270.0, '16': 115071.0, '37': 0, '40': 562.0, '61': 94638.0, '64': 2032.0, '67': 1159.0, '72': 1911.0, '94': 365098.0, '95': 33493.0, '104': 17769.0, '108': 7098.0, '112': 4413.0, '136': 939.0, '141': 2942.0, '142': 330.0, '147': 1655.0, '153': 104698.0, '155': 6129.0, '160': 59391.0, '164': 281.0, '179': 690.0, '189': 1020.0, '191': 1671.0, '193': 12667.0, '194': 13982.0, '198': 5553.0, '201': 1347.0, '207': 618.0, '208': 4007.0, '214': 7954.0, '215': 3062.0, '216': 1641.0, '225': 21605.0}",BAHRAIN,BH
BANGLADESH,"{'15': 29574.0, '16': -7401763.0, '28': 14628.0, '33': 19259.0, '37': 0, '43': 159619.0, '94': 33762.0, '95': 149901.0, '103': 13494.0, '110': 86447.0, '121': 199618.0, '138': 907426.0, '141': 38301.0, '151': 14032.0, '184': 9396.0, '201': 10343.0, '215': 32820.0, '216': 45115.0, '223': 26986.0}",BANGLADESH,BD
BARBADOS,"{'7': 194.0, '11': 23.0, '14': 48.0, '17': -99611.0, '20': 21.0, '22': 27.0, '35': 695.0, '37': 9028, '43': 42.0, '51': 57.0, '58': 339.0, '83': 391.0, '89': 6667.0, '90': 32.0, '94': 467.0, '102': 1004.0, '171': 109.0, '172': 2200.0, '175': 3148.0, '195': 46.0, '206': 1506.0, '215': 2537.0, '216': 1044.0}",BARBADOS,BB
BELARUS,"{'0': 277.0, '2': 51.0, '8': 99.0, '9': 5643.0, '11': 26.0, '12': 57.0, '13': 13294.0, '18': -1483626.0, '19': 34.0, '28': 91.0, '30': 59.0, '35': 152.0, '37': 42, '51': 42.0, '54': 93.0, '56': 195.0, '65': 3194.0, '67': 23.0, '71': 2079.0, '77': 8381.0, '78': 64.0, '81': 105.0, '92': 335.0, '94': 46.0, '96': 47.0, '98': 22.0, '100': 380.0, '101': 22.0, '104': 28.0, '105': 68934.0, '109': 5156.0, '111': 10332.0, '112': 63.0, '117': 17130.0, '131': 7496.0, '133': 164.0, '151': 59.0, '153': 45.0, '161': 470.0, '166': 21.0, '167': 672481.0, '181': 33.0, '186': 25.0, '192': 33.0, '196': 333.0, '197': 27.0, '198': 80.0, '199': 5595.0, '208': 23.0, '209': 5382.0, '213': 222436.0, '214': 21.0, '215': 453.0, '216': 84.0, '218': 26.0, '219': 14570.0, '223': 359.0, '225': 31.0}",BELARUS,BY
BELGIUM,"{'0': 24670.0, '1': 11937.0, '2': 27491.0, '4': 42.0, '5': 7095.0, '7': 1.0, '8': 2587.0, '9': 1834.0, '11': 1598.0, '12': 3354.0, '13': 292.0, '14': 13.0, '15': 60.0, '16': 2694.0, '17': 22.0, '18': 585.0, '19': -577463.0, '20': 12.0, '21': 1640.0, '22': 30.0, '23': 269.0, '24': 1274.0, '26': 714.0, '27': 38.0, '28': 16345.0, '29': 21.0, '30': 37595.0, '31': 1664.0, '32': 8485.0, '33': 1502.0, '34': 21165.0, '35': 5075.0, '36': 919.0, '37': 7880, '38': 0.0, '39': 498.0, '40': 545.0, '42': 4350.0, '43': 21418.0, '44': 7250.0, '45': 91.0, '46': 3948.0, '48': 349.0, '50': 558.0, '51': 1926.0, '53': 557.0, '54': 800.0, '55': 86925.0, '56': 2467.0, '57': 1464.0, '58': 198.0, '59': 3078.0, '60': 6712.0, '61': 5188.0, '62': 1081.0, '63': 118.0, '64': 2464.0, '65': 962.0, '66': 61.0, '67': 5283.0, '70': 24.0, '71': 2666.0, '72': 189544.0, '74': 105.0, '75': 770.0, '76': 934.0, '77': 690.0, '78': 81650.0, '79': 10443.0, '80': 11.0, '81': 18201.0, '82': 3.0, '83': 5.0, '86': 890.0, '87': 17039.0, '88': 364.0, '89': 101.0, '90': 2038.0, '91': 322.0, '92': 8293.0, '93': 231.0, '94': 25900.0, '95': 3598.0, '96': 11918.0, '97': 21413.0, '98': 3425.0, '100': 3418.0, '101': 121283.0, '102': 463.0, '103': 4804.0, '104': 1388.0, '105': 1176.0, '106': 1692.0, '107': 0.0, '108': 519.0, '109': 391.0, '110': 1136.0, '111': 1854.0, '112': 8301.0, '113': 15.0, '114': 983.0, '115': 1291.0, '116': 6.0, '117': 2447.0, '118': 14435.0, '119': 2391.0, '120': 85.0, '121': 820.0, '122': 4.0, '123': 1028.0, '124': 488.0, '126': 2441.0, '127': 3419.0, '129': 3133.0, '131': 2254.0, '132': 138.0, '133': 844.0, '134': 36.0, '136': 225217.0, '137': 480.0, '138': 195.0, '139': 90.0, '141': 4021.0, '142': 133062.0, '143': 96.0, '144': 417.0, '145': 407.0, '146': 2056.0, '147': 6401.0, '149': 1803.0, '151': 1195.0, '152': 53.0, '153': 13246.0, '155': 2808.0, '156': 211.0, '157': 28.0, '158': 521.0, '159': 3979.0, '160': 11778.0, '161': 78798.0, '162': 37506.0, '164': 105.0, '166': 92559.0, '167': 8210.0, '168': 14688.0, '170': 0.0, '171': 0.0, '172': 19.0, '174': 0.0, '175': 6.0, '176': 6.0, '177': 14.0, '178': 132.0, '179': 1025.0, '180': 6767.0, '181': 769.0, '182': 83.0, '183': 2407.0, '184': 696.0, '186': 1752.0, '187': 268.0, '188': 3.0, '189': 7393.0, '190': 4176.0, '192': 49754.0, '193': 2246.0, '194': 1524.0, '195': 4694.0, '196': 3204.0, '197': 5370.0, '198': 33724.0, '199': 70.0, '200': 732.0, '201': 9955.0, '202': 4.0, '203': 6373.0, '205': 3.0, '206': 106.0, '207': 16137.0, '208': 101925.0, '209': 15.0, '211': 1.0, '212': 843.0, '213': 2648.0, '214': 864.0, '215': 22472.0, '216': 16382.0, '218': 533.0, '219': 418.0, '220': 13.0, '222': 2613.0, '223': 8596.0, '224': 2.0, '225': 426.0, '226': 359.0, '227': 503.0}",BELGIUM,BE
BELIZE,"{'20': -52756.0, '35': 914.0, '37': 621, '43': 2323.0, '62': 10016.0, '78': 76.0, '86': 26767.0, '90': 60.0, '91': 9784.0, '94': 670.0, '102': 561.0, '112': 60.0, '129': 3997.0, '147': 49.0, '215': 462.0, '216': 4647.0}",BELIZE,BZ
BENIN,"{'21': -681827.0, '31': 12920.0, '37': 0, '40': 1042.0, '46': 4071.0, '72': 1402.0, '79': 16226.0, '123': 3508.0, '146': 78124.0, '147': 87145.0, '203': 113502.0}",BENIN,BJ
BERMUDA,"{'11': 176.0, '12': 47.0, '19': 6.0, '22': -21107.0, '35': 2032.0, '37': 2138, '43': 54.0, '51': 24.0, '56': 18.0, '59': 233.0, '72': 99.0, '78': 158.0, '79': 20.0, '81': 2.0, '89': 95.0, '90': 3.0, '94': 572.0, '98': 377.0, '100': 9.0, '101': 108.0, '102': 1658.0, '103': 30.0, '121': 48.0, '147': 34.0, '153': 29.0, '160': 1782.0, '161': 39.0, '162': 1600.0, '166': 137.0, '190': 287.0, '192': 30.0, '197': 54.0, '206': 219.0, '208': 6.0, '210': 1.0, '215': 3877.0, '216': 3606.0}",BERMUDA,BM
BHUTAN,"{'11': 27.0, '16': 53.0, '23': -51998.0, '35': 37.0, '37': 0, '43': 949.0, '56': 38.0, '72': 30.0, '78': 27.0, '94': 46974.0, '101': 12.0, '103': 132.0, '138': 34.0, '141': 751.0, '142': 19.0, '144': 24.0, '153': 21.0, '160': 18.0, '184': 17.0, '193': 33.0, '196': 22.0, '197': 24.0, '201': 62.0, '215': 36.0, '216': 141.0}",BHUTAN,BT
BOLIVIA,"{'0': 1.0, '1': 1.0, '2': 3.0, '4': 0.0, '5': 6.0, '7': 0.0, '8': 47601.0, '9': 5.0, '10': 2.0, '11': 253.0, '12': 176.0, '13': 1.0, '14': 0.0, '15': 0.0, '16': 30.0, '17': 0.0, '18': 5.0, '19': 419.0, '20': 1007.0, '21': 1.0, '22': 0.0, '24': -927244.0, '25': 21.0, '26': 10.0, '28': 28612.0, '30': 26.0, '32': 0.0, '34': 13.0, '35': 1536.0, '36': 141.0, '37': 2432, '39': 71.0, '40': 0.0, '42': 5268.0, '43': 1254.0, '44': 3301.0, '46': 7.0, '48': 162.0, '50': 41.0, '51': 1971.0, '52': 185.0, '53': 2.0, '54': 57.0, '55': 3.0, '56': 118.0, '58': 3.0, '59': 128.0, '60': 1115.0, '61': 22.0, '62': 140.0, '64': 0.0, '65': 6.0, '67': 2.0, '70': 0.0, '71': 43.0, '72': 1377.0, '73': 1.0, '75': 0.0, '77': 2.0, '78': 2251.0, '79': 15.0, '80': 0.0, '81': 28.0, '83': 0.0, '86': 158.0, '87': 9.0, '89': 5.0, '90': 16.0, '91': 257.0, '92': 29.0, '93': 2.0, '94': 118.0, '95': 10.0, '96': 68.0, '97': 10.0, '98': 85.0, '99': 2.0, '100': 201.0, '101': 1588.0, '102': 7.0, '103': 1848.0, '104': 17.0, '105': 25.0, '106': 15.0, '108': 5.0, '109': 5.0, '110': 0.0, '111': 0.0, '112': 40.0, '113': 0.0, '114': 2.0, '115': 3.0, '116': 0.0, '117': 9.0, '118': 6.0, '119': 5.0, '120': 7.0, '121': 8.0, '123': 1.0, '124': 5.0, '126': 1.0, '129': 10606.0, '131': 8.0, '132': 0.0, '133': 1.0, '134': 2.0, '136': 26.0, '137': 3.0, '138': 0.0, '141': 6.0, '142': 425.0, '143': 0.0, '144': 70.0, '145': 123.0, '146': 0.0, '147': 14.0, '148': 1.0, '149': 13.0, '151': 107.0, '152': 0.0, '153': 25.0, '155': 14.0, '156': 121.0, '157': 1.0, '158': 4772.0, '159': 12565.0, '160': 52.0, '161': 243.0, '162': 195.0, '163': 41.0, '164': 1.0, '166': 79.0, '167': 364.0, '168': 1.0, '171': 0.0, '179': 14.0, '180': 8.0, '181': 22.0, '183': 2.0, '184': 1.0, '186': 21.0, '187': 9.0, '188': 1.0, '189': 3.0, '190': 18.0, '192': 13568.0, '193': 2.0, '194': 2.0, '195': 0.0, '196': 325.0, '197': 733.0, '198': 2.0, '199': 1.0, '200': 5.0, '201': 9.0, '203': 1.0, '205': 0.0, '206': 5.0, '207': 1.0, '208': 40.0, '209': 0.0, '212': 0.0, '213': 126.0, '214': 0.0, '215': 1004.0, '216': 5453.0, '218': 565.0, '219': 5.0, '220': 0.0, '222': 5707.0, '223': 13.0, '225': 0.0, '226': 2.0, '227': 3.0}",BOLIVIA,BO
BONAIRE SINT EUSTATIUS AND SABA,"{'6': 0.0, '7': 0.0, '8': 0.0, '10': 0.0, '14': 0.0, '17': 0.0, '25': -8148.0, '35': 0.0, '37': 0, '43': 0.0, '44': 0.0, '51': 0.0, '52': 0.0, '58': 0.0, '59': 0.0, '72': 0.0, '73': 0.0, '83': 0.0, '84': 0.0, '89': 0.0, '90': 0.0, '94': 0.0, '95': 0.0, '101': 0.0, '102': 0.0, '103': 0.0, '112': 0.0, '129': 0.0, '142': 0.0, '144': 0.0, '151': 0.0, '162': 0.0, '163': 0.0, '171': 0.0, '172': 0.0, '175': 0.0, '192': 0.0, '195': 0.0, '206': 0.0, '215': 0.0, '216': 0.0, '217': 0.0, '222': 0.0}",BONAIRE SINT EUSTATIUS AND SABA,BQ
BOSNIA AND HERZEGOVINA,"{'12': 194.0, '26': -1687639.0, '37': 0, '50': 11956.0, '72': 162.0, '78': 516.0, '92': 148.0, '101': 106.0, '134': 4108.0, '149': 2875.0, '166': 379.0, '167': 164.0, '181': 9550.0, '186': 3165.0, '187': 1831.0}",BOSNIA AND HERZEGOVINA,BA
BOTSWANA,"{'5': 779.0, '11': 391.0, '27': -63561.0, '35': 185.0, '37': 0, '43': 4777.0, '55': 1129.0, '56': 344.0, '66': 608.0, '78': 336.0, '94': 5650.0, '98': 626.0, '101': 545.0, '106': 1210.0, '113': 277.0, '119': 560.0, '120': 1478.0, '127': 231.0, '137': 604.0, '139': 988.0, '142': 637.0, '147': 1233.0, '151': 391.0, '153': 464.0, '162': 464.0, '182': 9.0, '190': 5733.0, '193': 988.0, '196': 437.0, '200': 814.0, '212': 324.0, '215': 1315.0, '216': 920.0, '226': 4415.0, '227': 64301.0}",BOTSWANA,BW
